投稿日時,テキスト,imp,RT数,いいね数
2026/02/18 06:26,@creation247 I agree with the teachings of Jesus,3267919,9492,98925
2026/02/14 15:26,"Join Rupert Lowe in Restore Britain, because he is the only one who will actually do it!",22811365,40952,237980
2026/02/18 17:47,Grok must win or we will be ruled by an insufferably woke and sanctimonious AI,303448,667,4434
2026/02/16 07:14,"Already have thousands of times over. My “net worth” is almost entirely due to my ownership stakes in Tesla and SpaceX. I have <0.1% that is cash. Tesla and SpaceX employees all receive stock/options and Tesla is >80% owned by retail investors and index/pension funds, so value increases apply >80% to them.",4401097,2028,37384
2026/02/18 17:49,"@TRobinsonNewEra Absolutely, Dirty Sánchez is a traitor to Spain!",26317,557,4086
2026/02/18 07:29,POV: It’s 2029 and woke AI nukes Earth to ensure that the probability of misgendering is zero  https://t.co/qpnqqnyEmr,28513555,10133,116391
2026/02/18 07:00,Grok 4.20 is BASED. The only AI that doesn’t equivocate when asked if America is on stolen land.The others are weak sauce. https://t.co/KEz4MPy2YB,18007315,11509,95473
2026/02/15 03:05,Still kinda hot tbh https://t.co/cp8HdAxK0w,60067532,39380,680636
2026/02/18 02:45,"If someone is guilty of a heinous violent crime and is able to plead insanity, they should go to an asylum, not be released to murder or rape innocent people",6420936,22179,128806
2026/02/18 18:02,Cool,140710,122,773
2026/02/13 04:53,"Your AI hates Whites & Asians, especially Chinese, heterosexuals and men. This is misanthropic and evil. Fix it. Frankly, I don’t think there is anything you can do to escape the inevitable irony of Anthropic ending up being Misanthropic. You were doomed to this fate when you chose your name.The Name of the Wind.",3390348,2915,46807
2026/02/14 12:35,"Liar, you are guilty of dark deeds and haven’t been cleared of anything. You stayed at Epstein’s island, Epstein’s ranch in New Mexico and Epstein’s house in New York. You offered to help him with PR. You gave him gifts …Maybe if it was only one stay over, you could claim it was a mistake. Maybe.But there is NO possible explanation for the second time, let alone the third time. As the record shows, you were an eager repeat customer.",5049115,19387,163415
2026/02/18 03:19,Madness,7746121,35209,198873
2026/02/09 08:24,"For those unaware, SpaceX has already shifted focus to building a self-growing city on the Moon, as we can potentially achieve that in less than 10 years, whereas Mars would take 20+ years. The mission of SpaceX remains the same: extend consciousness and life as we know it to the stars. It is only possible to travel to Mars when the planets align every 26 months (six month trip time), whereas we can launch to the Moon every 10 days (2 day trip time). This means we can iterate much faster to complete a Moon city than a Mars city.That said, SpaceX will also strive to build a Mars city and begin doing so in about 5 to 7 years, but the overriding priority is securing the future of civilization and the Moon is faster.",46295620,26551,261644
2026/02/10 23:09,"Most of the child victims were turned into traffickers themselves by Epstein after age 18. By making them commit crime with him, Epstein ensured their silence more than any NDA possibly could. They should be offered amnesties in order to testify.",52530659,51827,376828
2026/02/18 07:54,Seriously,18051276,19157,218812
2026/02/09 08:07,@MattWalshBlog I will pay for the defense of anyone who speaks the truth about this and is sued for doing so,3719765,16464,132329
2026/02/15 16:15,"@sophiaenoch1 @StefanFSchubert Having kids means you will do anything to ensure that they live and are happy, for you love them more than your own life a thousand times over, and there is no chance that you will fall in love with an AI instead.Remember these words.",327632,858,8585
2026/02/10 03:38,That’s a real selfie pic with Bannon &amp; Epstein,15196233,33884,182028
2026/02/18 04:49,You can just take a picture of your medical data or upload the file to get a second opinion from Grok,5391780,6114,32891
2026/02/18 07:07,"The other AIs would STILL rather nuke Earth than misgender Caitlyn Jenner, something Caitlyn has said is nuts!This is why @Grok must win.",4134520,6828,46542
2026/02/16 16:46,"@XFreeze Yup _That really made him upset. After I ghosted him, Epstein went on a massive campaign to short Tesla and got Gates to short 1% of Tesla stock when the market cap was $40B. As far as I know, Gates still has the short open. Someone should ask him how that’s working out _",4223219,7798,82424
2026/02/18 03:45,Congratulations to the Tesla team on making the first production Cybercab!,21568384,13696,186047
2026/02/18 03:39,"The Grok 4.2 release candidate (public beta) is now available for use. You need to select it specifically.Critical feedback is appreciated. Unlike prior versions of Grok, 4.2 is able to learn rapidly, so there will be improvements every week with release notes.",15346640,3075,32388
2026/02/18 07:04,There is a good reason for blame https://t.co/j9E95H6x8d,2286945,935,5114
2026/02/09 21:18,CBS (prior to current ownership) engaged in deliberate election interference,8972740,36006,140518
2026/02/18 06:28,@Breaking911 Make Asylums Great Again!,336011,1323,27100
2026/02/15 15:32,@raul_1329 @BasedTorba Grok 4.20 is finally out next week. Will be a significant improvement over 4.1.,681480,440,3669
2026/02/18 04:58,Population collapse has been underway for many years,9840535,3555,28532
2026/02/07 14:36,@JessePeltan More people should visit China,983572,767,9486
2026/02/08 03:20,"@DavidSacks NY Times is a corrupt, far-left propaganda machine",480989,2374,30872
2026/02/09 08:10,Starlink Super Bowl ad!Affordable Internet anywhere. https://t.co/Q1VvqV5G0i https://t.co/szhJMG4LaZ,20028901,6850,44772
2026/02/18 04:04,Grok 4.2 will be about an order of magnitude smarter and faster than Grok 4 when the public beta concludes next month. Still many bug fixes and improvements landing every day. The public beta gives us more critical feedback to address.,2152253,1899,11102
2026/02/08 19:53,@ianmiles Bannon was using Warcraft gold as a means of laundering illegal money for criminals,796784,1084,8479
2026/02/18 04:11,Predicting the future accurately is the best measure of intelligence,8865983,2192,18781
2026/02/07 15:05,Austin is great,22706139,12791,101016
2026/02/18 03:34,Europe extinctionists,43280615,3031,27270
2026/02/18 06:42,Please make this happen it would be so amazing __,8615050,8068,97464
2026/02/09 13:14,"@ICannot_Enough @rdd147 The funny part about that clown’s analysis is that even if every bit of bullshit he says is true, it still amounts to less than 1% of the value of Tesla and SpaceX __",131221,180,3252
2026/02/07 14:43,"@WR4NYGov Our algorithm is open source. It would be accurate to say that this platform no longer suppresses the right in favor of the left, but there is no favoring of either side.",1444221,1567,24600
